Station Name,Latitude,Longitude,Date,PM25,NO2,O3,TEMP,HSDA,HA
Tsawwassen,49.0099,-123.082,10/17/22,14,4.5,27.7,13.8,Fraser South,Fraser
Tsawwassen,49.0099,-123.082,10/18/22,105.8,12,21.8,13.3,Fraser South,Fraser
Tsawwassen,49.0099,-123.082,10/19/22,45.2,16.7,17.2,12.5,Fraser South,Fraser
Tsawwassen,49.0099,-123.082,10/20/22,12.7,7.9,22,12.8,Fraser South,Fraser
Tsawwassen,49.0099,-123.082,10/21/22,1.6,6.7,26.8,9.2,Fraser South,Fraser
Vancouver International Airport,49.1864,-123.1522,10/15/22,12.5,19.3,6.2,13.8,Richmond,Vancouver Coastal
Vancouver International Airport,49.1864,-123.1522,10/16/22,18.8,27.6,6.8,14.4,Richmond,Vancouver Coastal
Vancouver International Airport,49.1864,-123.1522,10/17/22,19.3,16.8,15.8,13.6,Richmond,Vancouver Coastal
Vancouver International Airport,49.1864,-123.1522,10/18/22,51.7,25.1,8.9,12.6,Richmond,Vancouver Coastal
Vancouver International Airport,49.1864,-123.1522,10/19/22,52.5,30.6,5.9,11.4,Richmond,Vancouver Coastal
Vancouver International Airport,49.1864,-123.1522,10/20/22,15,16.1,16.5,12.9,Richmond,Vancouver Coastal
Vancouver International Airport,49.1864,-123.1522,10/21/22,2.2,10.1,25.9,9.5,Richmond,Vancouver Coastal
Whistler Meadow Park,50.144285,-122.960402,10/15/22,6.5,4.4,16.3,13.8,North Shore/Coast Garibaldi,Vancouver Coastal
Whistler Meadow Park,50.144285,-122.960402,10/16/22,11.3,4.6,19.5,13,North Shore/Coast Garibaldi,Vancouver Coastal
Whistler Meadow Park,50.144285,-122.960402,10/17/22,30.4,6.4,14.5,9.5,North Shore/Coast Garibaldi,Vancouver Coastal
Whistler Meadow Park,50.144285,-122.960402,10/18/22,35.7,5.6,14.8,10,North Shore/Coast Garibaldi,Vancouver Coastal
Whistler Meadow Park,50.144285,-122.960402,10/19/22,11.8,5,15.4,9.8,North Shore/Coast Garibaldi,Vancouver Coastal
Whistler Meadow Park,50.144285,-122.960402,10/20/22,11.3,7.7,17.6,11.7,North Shore/Coast Garibaldi,Vancouver Coastal
Whistler Meadow Park,50.144285,-122.960402,10/21/22,1.9,2.8,26.5,9.6,North Shore/Coast Garibaldi,Vancouver Coastal
